Unnamed: 0.1,label
12326,1
10188,1
6790,1
19934,1
9818,0
17015,2
19194,2
2584,0
12564,0
10525,2
6116,1
7221,0
13315,0
5210,0
18987,0
16238,2
2391,2
17032,1
5532,0
11308,0
15362,0
3641,0
8032,0
6899,0
2186,0
11415,1
1345,2
4882,0
891,1
342,1
1841,2
7260,0
3181,0
13561,2
17963,0
5440,2
7804,0
13671,0
1111,0
16927,1
7453,0
12608,1
9049,0
15683,2
19400,2
9929,0
19539,2
10679,0
14525,1
1370,1
17077,2
9007,2
16377,2
11597,1
531,1
4486,0
592,0
13266,2
10626,2
10194,2
6775,0
17337,1
17791,1
1796,1
7529,2
19006,2
8472,1
6402,1
5376,0
470,0
4071,0
63,1
6173,1
4878,0
598,0
11865,0
4274,0
8422,1
6655,0
7570,1
10886,2
736,0
10425,0
15612,2
11020,2
19335,1
6699,0
5056,1
12160,0
2797,1
19050,2
6493,0
3716,0
18824,0
16562,1
18595,2
11307,2
14723,1
14747,0
10539,2
11004,0
12031,0
17085,2
1940,2
8598,0
15823,1
6470,0
13332,0
12438,0
6013,1
10646,2
15659,0
19623,0
11588,0
2597,1
5339,1
12810,2
17766,1
1060,1
5755,1
17940,0
18867,0
15536,0
19556,2
6384,2
1599,0
16570,1
8461,0
12529,0
17277,1
15846,0
15566,1
16887,2
6777,0
15998,1
13737,2
13454,2
12074,0
10675,0
10046,1
17405,2
12000,0
18780,0
2825,2
1920,1
4401,0
19282,0
7700,1
11141,2
12973,0
7614,1
15568,1
4468,0
12360,0
10557,2
14632,1
9043,2
10131,1
5482,0
1878,2
518,1
3709,1
5625,0
17201,2
350,1
2355,2
8826,1
9221,0
14806,2
4451,1
14439,2
6221,1
9832,2
5441,1
4333,0
8003,1
4591,0
1945,1
782,0
10665,2
10489,2
10133,0
9803,1
2724,2
7231,0
3268,1
5668,0
4055,1
5002,1
15480,0
18531,2
16560,2
19916,2
3628,1
1516,0
11301,0
9946,2
9887,0
7094,0
14982,1
2961,0
5128,1
2407,0
1629,0
6976,0
6330,0
10764,0
3336,1
14344,1
7191,1
17418,1
6114,0
1252,0
2636,0
18411,0
19227,1
15800,0
13655,0
4197,0
2469,0
17013,2
14281,1
381,0
186,1
8431,0
9986,2
14775,1
17825,1
3938,2
1769,0
7650,1
318,0
2743,1
16494,2
17168,2
8503,0
14342,2
20146,1
15678,1
5392,0
7979,0
17282,2
18728,1
19715,1
5159,0
6512,1
18332,0
331,0
13423,2
7129,2
10446,1
18492,2
18948,2
12813,1
4105,2
14656,1
820,1
3103,2
11350,2
20114,1
10546,0
3750,1
3196,1
3311,1
13481,2
11411,2
10836,0
10847,0
2786,0
1713,2
2984,2
5313,0
9089,0
11654,0
8423,1
5956,1
18998,0
9075,0
15469,1
7366,1
13805,2
8172,0
9582,1
17260,2
15465,2
10253,0
5629,1
19088,0
15076,2
9321,0
11845,1
18669,0
15117,2
1384,2
15190,1
8582,0
776,0
4871,1
17529,0
19273,1
16981,1
19914,2
16986,1
2188,1
11593,1
7975,0
6285,1
6676,0
2654,1
19436,0
3155,0
6428,0
6675,1
12381,0
6101,0
1137,0
18967,0
2582,2
15865,0
9557,1
20052,2
18747,0
7135,1
17139,1
17143,2
5488,1
205,1
11233,1
16963,1
14511,2
16379,2
8768,2
9534,1
9356,1
10282,0
11618,2
4219,1
10930,2
10047,0
18149,1
10620,0
9446,0
10949,2
5049,0
4599,2
10401,2
520,0
10362,0
4321,1
4792,1
10662,2
16550,1
552,0
11000,2
16877,2
9402,0
15082,2
6904,0
12542,2
11407,2
16566,1
12942,1
1484,1
8213,2
14878,1
7805,0
13508,0
8780,0
8851,0
14576,0
2979,0
9304,1
4640,2
17875,2
9794,0
5762,0
15077,1
17842,0
104,0
795,0
6618,2
7102,2
5816,1
917,0
17293,2
2523,0
12681,2
6546,1
8988,0
10658,0
6835,0
15852,0
15795,1
13694,2
15812,2
7261,0
10487,0
8136,0
17222,2
9300,2
4326,2
6555,1
4432,2
17072,2
3286,0
1736,0
1182,0
4624,0
796,1
7887,1
5805,1
11912,2
10962,2
12626,2
12992,2
11161,0
13877,2
14234,2
7503,1
13780,2
5916,0
4855,1
18342,2
18508,1
19990,0
19078,0
5926,1
15066,0
3532,2
4560,1
3355,1
10763,0
14875,2
4643,1
10424,0
6551,2
11822,0
4028,0
13814,0
9577,0
13205,2
18458,0
505,0
15121,2
10058,0
4162,0
4644,1
1261,2
10509,1
6091,0
5175,0
13167,0
13544,0
1328,0
159,0
5901,0
2506,2
11026,0
16364,2
11985,0
2212,1
12744,2
13969,2
17270,0
1397,0
3284,1
14625,2
3858,1
15769,0
19125,2
9086,0
17321,1
10628,2
10097,0
18588,0
9665,0
14843,2
6507,1
16291,0
17834,2
7323,1
13003,2
5352,0
688,0
2508,0
9558,1
6869,1
366,0
19981,1
10570,0
5158,2
7214,1
14290,1
4554,0
3433,0
3403,1
18757,0
5062,0
7608,0
5785,1
2591,0
12886,2
3495,0
12644,2
12329,2
5221,0
2480,0
500,2
18271,2
9262,0
9695,0
6206,2
19238,2
5929,0
7835,0
13744,0
19223,2
5009,1
4899,0
18366,1
2524,0
10384,2
12726,2
14665,2
9459,1
7157,1
16324,1
1184,0
4571,0
1709,0
8628,0
994,1
10893,1
14962,1
17242,0
4936,2
12431,1
17753,0
14144,0
16135,2
15645,0
11297,2
10072,1
1368,2
17252,2
6656,0
2222,0
9378,0
2887,0
4536,1
7531,0
6750,1
16995,0
4590,1
10204,0
18849,1
3884,1
16620,1
12609,2
2078,1
16896,0
5433,2
16225,2
7718,0
19018,1
1888,1
3016,1
13775,0
11727,0
5380,0
12413,2
17514,1
8387,1
10013,0
13020,0
12799,2
11364,0
10611,0
13926,2
11849,2
19466,2
15014,0
11008,0
213,2
